"","name","Right.ascension","Declination","SpType","RA","DE"
"116","HD 24357","03 h 53m 10.0464s","+17° 19' 37.500","F4V",58.29186,17.3270833333333
"117","* 64 Tau","04 h 24m 05.7610s","+17° 26' 38.869","A7V",66.0240041666667,17.4441302777778
"118","HD 27282","04 h 19m 08.0078s","+17° 31' 29.097","G8V",64.7833658333333,17.5247491666667
"119","NSV 1582","04 h 22m 56.0933s","+17° 32' 33.051","K0III",65.7337220833333,17.5425141666667
"120","HD 28394","04 h 29m 20.5531s","+17° 32' 41.766","G0",67.3356379166667,17.544935
"121","HD 31181","04 h 54m 20.6361s","+17° 36' 32.919","F8",73.58598375,17.6091441666667
"122","HD 28406","04 h 29m 30.3505s","+17° 51' 47.388","F8",67.3764604166667,17.8631633333333
"123","V* V921 Tau","04 h 29m 31.6059s","+17° 53' 35.456","G5",67.38169125,17.8931822222222
"124","V* V776 Tau","04 h 25m 29.3838s","+17° 55' 40.477","A2IV",66.3724325,17.9279102777778
"125","V* V990 Tau","04 h 24m 16.9409s","+18° 00' 10.492","K5",66.0705870833333,18.0029144444444
"126","HD 27990","04 h 25m 47.5596s","+18° 01' 02.180","K2V",66.448165,18.0172722222222
"127","HD 25202","04 h 00m 48.7654s","+18° 11' 38.400","F4V",60.2031891666667,18.194
"128","V* V1232 Tau","04 h 18m 01.8389s","+18° 15' 24.498","G4V+G8v",64.5076620833333,18.256805
"129","HD 30355","04 h 47m 37.5697s","+18° 15' 31.395","G0",71.9065404166667,18.2587208333333
"130","HD 27534","04 h 21m 32.2686s","+18° 25' 03.297","F5V",65.3844525,18.4175825
"131","HD 26345","04 h 10m 42.3643s","+18° 25' 23.710","F6V",62.6765179166667,18.4232527777778
"132","BD+18° 514","03 h 37m 22.6889s","+18° 35' 48.785","F8",54.3445370833333,18.5968847222222
"133","HD 30505","04 h 49m 03.5212s","+18° 38' 28.459","F5",72.2646716666667,18.6412386111111
"134","HD 30197","04 h 46m 16.8288s","+18° 44' 04.894","K4III",71.57012,18.7346927777778
"135","HD 27429","04 h 20m 25.1095s","+18° 44' 33.390","F3:V",65.1046229166667,18.7426083333333
"136","V* V480 Tau","04 h 51m 22.4624s","+18° 50' 23.500","A7IV-V",72.8435933333333,18.8398611111111
"137","V* V1233 Tau","04 h 25m 51.7276s","+18° 51' 50.627","G3V+G6v...",66.4655316666667,18.8640630555556
"138","HD 27901","04 h 24m 57.1280s","+19° 02' 31.248","F4V",66.2380333333333,19.0420133333333
"139","eps Tau","04 h 28m 36.9995s","+19° 10' 49.554","G9.5III",67.1541645833333,19.1804316666667
"140","V* V986 Tau","04 h 20m 12.9673s","+19° 14' 00.527","G0V",65.0540304166667,19.2334797222222
"141","HD 31236","04 h 54m 58.3618s","+19° 29' 07.397","F3IV",73.7431741666667,19.4853880555556
"142","V* V988 Tau","04 h 23m 22.8499s","+19° 39' 31.233","K2V",65.8452079166667,19.6586758333333
"143","V* V918 Tau","04 h 28m 37.2145s","+19° 44' 26.467","G5",67.1550604166667,19.7406852777778
"144","LP 475-254","04 h 30m 17.9716s","+19° 50' 26.073","F5",67.5748816666667,19.8405758333333
"145","V* V893 Tau","04 h 18m 57.9752s","+19° 54' 24.124","G5",64.7415633333333,19.9067011111111
"146","HD 284908","04 h 52m 42.0067s","+20° 00' 02.190","K0",73.1750279166667,20.0006083333333
"147","HD 21663","03 h 30m 30.4289s","+20° 06' 11.746","G5",52.6267870833333,20.1032627777778
"148","HD 28593","04 h 31m 15.6919s","+20° 07' 59.391","G5",67.8153829166667,20.1331641666667
"149","HD 284705","04 h 41m 26.3663s","+20° 16' 42.783","G5",70.3598595833333,20.2785508333333
"150","BD+19° 641","04 h 00m 39.5392s","+20° 22' 49.526","G4V",60.1647466666667,20.3804238888889
"151","NLTT 9440","02h 58m 05.2215s","+20° 40' 07.440","F5IV",44.52175625,20.6687333333333
"152","HD 26874","04 h 15m 42.4379s","+20° 49' 11.259","G4V",63.9268245833333,20.8197941666667
"153","HD 27524","04 h 21m 31.6493s","+21° 02' 23.557","F5V",65.3818720833333,21.0398769444444
"154","HD 284787","04 h 48m 42.1243s","+21° 06' 03.553","G5",72.1755179166667,21.1009869444444
"155","BD+20° 598","03 h 37m 34.9739s","+21° 20' 35.427","G5",54.3957245833333,21.3431741666667
"156","HD 27732","04 h 23m 22.3303s","+21° 22' 44.743","G5",65.8430429166667,21.3790952777778
"157","HD 28033","04 h 26m 18.4997s","+21° 28' 13.564","F8V",66.5770820833333,21.4704344444444
"158","HD 27176","04 h 18m 23.2021s","+21° 34' 45.469","F0V",64.5966754166667,21.5792969444444
"159","* iot Tau","05h 03m 05.7473s","+21° 35' 23.865","A7V",75.7739470833333,21.5899625
"160","HD 28226","04 h 28m 00.7836s","+21° 37' 11.665","Am",67.003265,21.6199069444444
"161","HD 27808","04 h 24m 14.5749s","+21° 44' 10.477","F8V",66.06072875,21.7362436111111
"162","V* V984 Tau","04 h 16m 33.4783s","+21° 54' 26.890","G5",64.1394929166667,21.9074694444444
"163","NSV 1594","04 h 25m 25.0155s","+22° 11' 59.993","A7V",66.35423125,22.1999980555556
"164","V* K Tau","04 h 25m 22.1653s","+22° 17' 37.945","A7IV-V",66.3423554166667,22.2938736111111
"165","HD 26737","04 h 14m 30.4203s","+22° 27' 06.713","F5V",63.62675125,22.4518647222222
"166","V* ups Tau","04 h 26m 18.4635s","+22° 48' 48.897","A8Vn",66.57693125,22.8135825
"167","HD 284858","04 h 53m 38.7251s","+23° 01' 12.984","G0",73.4113545833333,23.0202733333333
"168","HD 29419","04 h 38m 51.2914s","+23° 08' 59.895","F5",69.7137141666667,23.1499708333333
"169","HD 284574","04 h 40m 05.8427s","+23° 18' 16.371","K0V",70.0243445833333,23.3045475
"170","V* V1116 Tau","04 h 36m 29.1375s","+23° 20' 27.077","F5IV",69.12140625,23.3408547222222
"171","HD 30572","04 h 49m 48.0289s","+23° 23' 44.729","G0",72.4501204166667,23.3957580555556
"172","HD 26736","04 h 14m 32.3154s","+23° 34' 29.801","G5",63.6346475,23.5749447222222
"173","BD+23° 465","03 h 32m 50.0781s","+23° 41' 31.864","G5",53.20865875,23.6921844444444
"174","HD 29621","04 h 40m 49.0684s","+23° 48' 34.649","G5",70.2044516666667,23.8096247222222
"175","HD 27731","04 h 23m 30.4005s","+24° 24' 19.448","F5",65.87666875,24.4054022222222
"176","V* V808 Tau","04 h 49m 12.9863s","+24° 48' 10.232","K3V",72.3041095833333,24.8028422222222
"177","HD 244516","05h 32m 00.3460s","+24° 59' 29.306","G0",83.0014416666667,24.9914738888889
"178","20 Arietis","02h 15m 46.0501s","+25° 46' 58.575","F6IV-V",33.9418754166667,25.7829375
"179","HD 283333","04 h 05m 59.4571s","+25° 47' 17.585","G5",61.4977379166667,25.7882180555556
"180","HD 2837","04 h 29m 30.7652s","+26° 40' 17.567","G5",67.3781883333333,26.6715463888889
"181","NLTT 14232","04 h 57m 40.8237s","+27° 22' 32.674","F5",74.42009875,27.3757427777778
"182","G 86-26","05h 10m 00.8721s","+27° 38' 35.503","G5",77.50363375,27.6431952777778
"183","V* V1156 Tau","05h 09m 45.0923s","+28° 01' 49.660","A5m",77.4378845833333,28.0304611111111
"184","CCDM J05098+28°02BC","05h 09m 45.5061s","+28° 02' 01.696","G7",77.43960875,28.0338044444444
"185","HD 283690","04 h 34m 53.9750s","+28° 03' 51.752","F5",68.7248958333333,28.0643755555556
"186","HD 34987","05h 22m 49.3749s","+28° 44' 48.390","F8",80.70572875,28.746775
"187","HD 245024","05h 35m 17.5911s","+29° 16' 17.049","G5",83.82329625,29.2714025
"188","BD+29° 5","03 h 02m 46.6735s","+29° 39' 41.260","G5",45.6944729166667,29.6614611111111
"189","HD 26397","04 h 11m 38.0505s","+29° 49' 48.626","K0",62.90854375,29.8301738888889
"190","HD 27570","04 h 22m 20.7067s","+30° 25' 25.948","G5IV",65.5862779166667,30.4238744444444
