"","recno","HIP","RAhms","DEdms","Vmag","RA","DE","Plx","pmRA","pmDE","B.V","SpType"
"393",24160,24177,"05 11 29.76","+10 07 17.6",11.97,77.87,10.12,18.73,-37.88,-216.59,1.46,"M1"
"394",24275,24292,"05 12 47.94","+16 18 27.7",10.55,78.2,16.31,23.35,31.69,-262.46,1.23,""
"395",24284,24301,"05 12 53.21","+19 43 25.7",9.93,78.22,19.72,31.41,366.33,-674.39,1.06,"K5:"
"396",24319,24336,"05 13 25.06","+03 41 13.4",7.82,78.35,3.69,21.36,-36.81,22.24,0.64,"G2V"
"397",24440,24457,"05 14 49.76","+00 42 33.4",9.85,78.71,0.71,26.11,139.46,-200.16,1.12,"K5V"
"398",24541,24558,"05 16 09.06","+16 56 34.1",10.5,79.04,16.94,21.55,-148.64,-161.3,1.09,""
"399",24638,24655,"05 17 25.62","+26 04 49.1",10.4,79.36,26.08,24.03,-19.09,8.27,0.67,""
"400",24643,24660,"05 17 30.73","+14 30 51.2",8.54,79.38,14.51,18.54,11.69,-74.92,0.67,"G5III"
"401",24664,24681,"05 17 40.98","+07 21 13.3",7.31,79.42,7.35,22.22,-3.74,-148.69,0.66,"G0"
"402",24847,24864,"05 19 49.02","+02 30 49.9",7,79.95,2.51,26.68,30.52,-99.17,0.53,"F8V"
"403",24866,24883,"05 20 03.62","+13 32 42.7",7.5,80.02,13.55,18.93,-20.2,-89.59,0.56,"G2III"
"404",24906,24923,"05 20 25.39","+11 36 35.5",9.03,80.11,11.61,18.26,50.64,-13.41,0.77,"K0"
"405",25064,25082,"05 22 11.18","+05 23 43.5",7.01,80.55,5.4,18.46,49.12,-50.64,0.52,"F5"
"406",25109,25127,"05 22 42.71","+13 13 45.1",9.15,80.68,13.23,20.54,15.31,-45.45,0.71,"G5"
"407",25177,25195,"05 23 26.53","+16 58 54.7",8.11,80.86,16.98,19.97,6.43,-152.28,0.61,"F8"
"408",25410,25428,"05 26 17.50","+28 36 28.3",1.65,81.57,28.61,24.89,23.28,-174.22,-0.13,"B7III"
"409",25505,25523,"05 27 29.99","+18 50 47.1",9.58,81.87,18.85,21.24,56.36,-346.11,0.92,""
"410",25842,25860,"05 31 13.80","+15 46 27.7",8.64,82.81,15.77,18.66,-43.48,-373.23,0.67,"G5V"
"411",25855,25873,"05 31 23.44","+12 33 23.1",8.4,82.85,12.56,28,172.35,-136.2,0.81,"G5"
"412",25887,25905,"05 31 44.25","+00 05 59.5",8.36,82.93,0.1,26.21,171.06,-463.72,0.7,"G5V"
"413",25989,26007,"05 33 02.71","+29 23 21.5",12.08,83.26,29.39,27.23,-327.7,-175.69,1.45,"K7"
"414",26000,26018,"05 33 06.98","+20 02 10.6",8.81,83.28,20.04,21.71,-71,-296.53,0.9,"G5"
"415",26178,26196,"05 35 00.71","+28 05 57.0",10.08,83.75,28.1,27.05,214.12,-271.15,1.27,""
"416",26348,26366,"05 36 54.33","+09 17 29.1",4.09,84.23,9.29,28.1,96.84,-304.18,0.95,"G8III-IV"
"417",26363,26381,"05 37 02.54","+20 43 54.5",7.68,84.26,20.73,30.08,-79.75,-419.96,0.67,"G4IV-V"
"418",26364,26382,"05 37 03.71","+17 02 25.5",5.53,84.27,17.04,18.56,42.9,-34.86,0.24,"F0V"
"419",26426,26444,"05 37 37.03","+06 06 44.0",7.64,84.4,6.11,21.01,93.4,-89.05,0.58,"F5"
"420",26633,26651,"05 39 51.50","+24 13 31.3",7.12,84.96,24.23,18.64,-3.06,40.18,0.4,"F3V"
"421",26646,26664,"05 40 01.70","+06 03 40.2",8.67,85.01,6.06,23.32,54.7,-245.76,0.83,"K0"
"422",26744,26762,"05 41 05.59","+00 20 15.7",5.93,85.27,0.34,19.46,12.3,27.76,0.31,"F0IV"
"423",26789,26807,"05 41 34.35","+15 12 51.1",7.67,85.39,15.21,26.51,74.64,-199.6,0.69,"G0"
"424",26846,26864,"05 42 13.32","+07 24 10.4",10.83,85.56,7.4,19.31,-330.36,-360.59,1.04,"K4"
"425",26889,26907,"05 42 45.69","+02 40 49.2",8.55,85.69,2.68,31.9,254.37,-526.9,0.89,"K1V"
"426",27099,27118,"05 45 01.80","+04 00 29.5",6.09,86.26,4.01,19.79,-11,-34.02,0.32,"F0III:n"
"427",27234,27253,"05 46 34.96","+01 10 06.7",5.95,86.65,1.17,23.57,-80.05,-141.79,0.77,"G4V"
"428",27507,27527,"05 49 45.68","+27 07 19.3",8.78,87.44,27.12,28.1,80.4,-273.23,0.93,"K2"
"429",27782,27802,"05 52 59.67","+15 10 14.3",10.39,88.25,15.17,20.53,175.68,103.31,1.4,""
"430",27859,27878,"05 53 58.75","+12 25 12.2",7.76,88.49,12.42,18.64,-8.44,-260.15,0.59,"F8"
"431",28101,28122,"05 56 37.12","+10 33 06.2",9.48,89.15,10.55,23.63,-16.57,10.15,0.72,"G5"
"432",28114,28135,"05 56 48.25","+10 28 47.2",9.85,89.2,10.48,25.08,98.61,-211.1,1.1,"K5V"
"433",28408,28428,"06 00 13.82","+04 50 06.7",7.46,90.06,4.84,18.69,-60.84,136.49,0.64,"G0"
"434",28474,28494,"06 00 53.99","+21 01 18.7",10.02,90.22,21.02,31.56,-35.03,-361.03,1.23,"K8"
"435",28594,28614,"06 02 22.99","+09 38 50.5",4.12,90.6,9.65,21.49,14.19,-37.44,0.17,"Am..."
"436",28699,28736,"06 03 58.98","+23 00 31.7",11.04,91,23.01,25.57,-39.34,-349.47,1.26,""
"437",28715,28734,"06 04 07.22","+23 15 49.1",4.16,91.03,23.26,21.64,-2.6,-119.72,0.84,"G7III"
"438",28791,28813,"06 04 58.18","+14 23 20.0",6.72,91.24,14.39,24.56,84.66,-188.03,0.51,"F6V"
"439",28863,28884,"06 05 55.23","+26 33 20.7",9.42,91.48,26.56,23.97,-179.65,-375.57,0.89,"K2V"
"440",28980,29001,"06 07 09.17","+16 33 22.7",7.34,91.79,16.56,27.97,85.15,-89.52,0.54,"F5"
"441",29042,29063,"06 07 52.28","+08 13 13.0",8.97,91.97,8.22,28.92,40.5,-311.21,0.87,"K2V"
"442",29053,29074,"06 07 59.05","+27 25 42.4",8.02,92,27.43,22.46,25.89,-94.32,0.63,"G0V"
"443",29111,29132,"06 08 40.75","+09 28 41.7",10.39,92.17,9.48,31.69,-65.03,-6.24,1.69,"M0"
"444",29187,29208,"06 09 35.88","+05 40 07.6",8.45,92.4,5.67,33.42,60.4,45.92,0.9,"G0"
