"","recno","HIP","RAhms","DEdms","Vmag","RA","DE","Plx","pmRA","pmDE","B.V","SpType"
"119",15361,15374,"03 18 15.03","+09 14 42.4",11.91,49.56,9.25,24.54,123.52,15.81,1.34,"M0V:"
"120",15368,15381,"03 18 20.03","+18 10 18.8",7.52,49.58,18.17,19.19,-82.92,-103.63,0.64,"G0"
"121",15388,15401,"03 18 35.12","+10 18 45.3",12.25,49.65,10.31,22.66,147.35,-80.83,1.49,"M1V:"
"122",15557,15572,"03 20 36.83","+09 02 01.3",8.46,50.15,9.03,19.71,287.04,-62.85,0.69,"G0"
"123",15706,15720,"03 22 27.99","+27 09 22.4",11.03,50.62,27.16,29.75,218.4,-64.05,1.43,""
"124",15710,15724,"03 22 32.55","+17 43 31.5",8.83,50.64,17.73,23.55,40.02,-29.15,0.88,"K0"
"125",15861,15875,"03 24 28.63","+06 59 06.3",10.28,51.12,6.99,24.7,-25.72,-30.67,1.28,"K7V:"
"126",16028,16042,"03 26 35.36","+28 42 55.2",6.47,51.65,28.72,19.91,41.35,-104.29,0.88,"G5IV"
"127",16130,16144,"03 28 02.11","+22 01 25.9",11.41,52.01,22.02,24.37,341.88,-321.48,1.41,"M1"
"128",16213,16227,"03 29 03.86","+01 40 07.4",11.81,52.27,1.67,21.2,322.67,14.8,1.4,"M0V:"
"129",16315,16329,"03 30 30.33","+20 06 12.3",8.29,52.63,20.1,21.61,155.02,-63.38,0.74,"G5"
"130",16390,16405,"03 31 15.49","+20 46 06.8",8.08,52.81,20.77,20.04,-112.36,-196.42,0.68,"G5"
"131",16515,16529,"03 32 49.98","+23 41 32.2",8.88,53.21,23.69,22.78,160.99,-40.55,0.84,"G5"
"132",16524,16538,"03 32 57.55","+16 35 55.2",7.03,53.24,16.6,18.16,-22.39,-96.1,0.5,"F5"
"133",16545,16560,"03 33 13.31","+07 27 10.9",11.17,53.31,7.45,29.74,-65.97,-70.07,1.37,"K7V:"
"134",16627,16641,"03 34 08.32","+17 50 00.9",6.14,53.53,17.83,23.57,95.5,-310.56,0.89,"K1IVe..."
"135",16772,16786,"03 36 00.33","+08 45 36.5",12.45,54,8.76,22.94,25.99,23.86,1.44,"K7"
"136",16774,16788,"03 36 03.35","+16 28 05.1",7.65,54.01,16.47,22.25,-284.52,-276.33,0.58,"G0"
"137",16865,16879,"03 37 10.88","+25 59 30.3",7.28,54.3,25.99,26.78,237.51,-271.85,0.7,"G2V SB"
"138",16894,16908,"03 37 34.89","+21 20 35.7",9.35,54.4,21.34,25.23,141.55,-27.39,0.92,"G5"
"139",17010,17024,"03 38 58.74","+00 47 47.7",8.66,54.74,0.8,20.54,54.97,-21.45,0.71,"G0"
"140",17062,17076,"03 39 33.48","+18 23 07.4",8.24,54.89,18.39,27.18,188.2,-193.16,0.81,"G5"
"141",17258,17272,"03 41 55.11","+00 32 35.4",10.97,55.48,0.54,19.32,108.03,-195.77,NA,"K0"
"142",17291,17305,"03 42 15.91","+22 47 11.9",7.4,55.57,22.79,18.79,21.57,-75.5,0.43,"F2"
"143",17458,17472,"03 44 39.46","+10 10 42.6",8.62,56.16,10.18,20.41,170.32,-231.35,0.66,"G5"
"144",17752,17766,"03 48 11.76","+07 08 46.4",10.85,57.05,7.15,24.02,173.16,4.87,1.34,"M1"
"145",17780,17794,"03 48 32.88","+15 12 08.0",9.45,57.14,15.2,28.41,95.08,-89.59,1.08,"K8"
"146",17874,17888,"03 49 35.46","+01 20 59.1",8.58,57.4,1.35,29.96,263.67,-615.78,0.82,"K1V"
"147",17914,17928,"03 50 03.36","+22 35 30.4",7.29,57.51,22.59,26.91,155.06,-63.56,0.54,"F5"
"148",17922,17936,"03 50 08.85","+06 37 14.8",7.72,57.54,6.62,30.74,59.66,-40.52,0.68,"G0"
"149",17946,17960,"03 50 22.90","+17 28 37.1",7.5,57.6,17.48,21.5,114.24,-252.31,0.65,"G0"
"150",17948,17962,"03 50 24.89","+17 14 47.6",9.46,57.6,17.25,21.37,130.19,-23.3,0.78,"K0Vea + DA"
"151",18004,18018,"03 51 03.02","+23 54 13.6",10.17,57.76,23.9,24.72,150.93,-46.61,1.16,"K7"
"152",18091,18106,"03 52 11.48","+25 09 48.5",6.77,58.05,25.16,25.34,-121.53,-163.78,0.58,"G0"
"153",18156,18170,"03 53 09.96","+17 19 37.8",5.97,58.29,17.33,24.14,143.97,-29.93,0.35,"F4V"
"154",18237,18253,"03 54 15.86","+08 33 31.8",11.94,58.57,8.56,24.61,238.12,-67.02,1.46,"M0V:"
"155",18245,18261,"03 54 22.62","+01 15 42.9",7.97,58.59,1.26,22.13,22.34,-117.01,0.63,"G0"
"156",18306,18322,"03 55 01.36","+12 29 08.2",10.12,58.76,12.49,26.49,127.58,-9.65,1.07,"M0"
"157",18311,18327,"03 55 06.41","+16 59 54.7",8.99,58.78,17,24.16,148.37,-25.09,0.9,"K2"
"158",18417,18433,"03 56 28.62","+22 40 29.9",7.84,59.12,22.67,21.41,174.27,-233.12,0.69,"G0"
"159",18455,18471,"03 56 52.03","+22 28 41.7",5.62,59.22,22.48,22.31,69.43,-114.82,0.35,"F2IV"
"160",18515,18531,"03 57 47.20","+22 55 27.7",8.78,59.45,22.92,27.72,157.34,11,NA,"K0"
"161",18642,18658,"03 59 40.41","+10 19 49.5",6.35,59.92,10.33,25.42,133.06,-3.5,0.42,"F5V"
"162",18719,18735,"04 00 48.69","+18 11 38.6",5.89,60.2,18.19,21.99,129.49,-28.27,0.32,"F4V..."
"163",18877,18893,"04 02 59.45","+09 12 32.0",6.91,60.75,9.21,22.7,93.22,-162.79,0.47,"F8"
"164",18891,18907,"04 03 09.38","+05 59 21.5",3.91,60.79,5.99,25.24,5.52,-1.63,0.03,"A1V"
"165",18931,18946,"04 03 38.96","+19 27 18.3",10.12,60.91,19.46,23.07,119.02,-34.19,1.1,"K5"
"166",18949,18965,"04 03 50.66","+29 11 52.9",8.18,60.96,29.2,28.44,247.71,-128.33,0.83,"K1V"
"167",18959,18975,"04 03 56.51","+08 11 49.9",5.45,60.99,8.2,27.8,168.35,27.98,0.37,"F2V"
"168",18977,18993,"04 04 09.79","+02 49 38.1",5.36,61.04,2.83,28.87,149.52,-125.67,0.51,"F6IV"
"169",19008,19024,"04 04 30.79","+00 14 47.2",8.32,61.13,0.25,21.76,-202.7,-354.63,0.77,"G5"
"170",19021,19038,"04 04 41.66","+22 04 55.4",4.36,61.17,22.08,18.04,91.73,-58.52,1.06,"K0III"
"171",19081,19098,"04 05 39.60","+17 56 16.0",9.31,61.41,17.94,19.81,126.34,-29.13,0.89,"K2"
"172",19100,19117,"04 05 54.28","+11 57 58.1",10.06,61.48,11.97,29.02,216.53,17.79,1.12,"M1"
"173",19131,19148,"04 06 16.06","+15 41 53.4",7.85,61.57,15.7,21.41,118.53,-19.59,0.59,"G0"
"174",19166,19183,"04 06 41.51","+01 41 02.9",7.83,61.67,1.68,18.09,39.03,-94.1,0.48,"F5"
"175",19190,19207,"04 07 01.15","+15 20 06.3",10.49,61.75,15.34,23.57,122.63,-18.96,1.18,"K5"
"176",19240,19257,"04 07 39.47","+09 29 38.8",11.49,61.91,9.49,18.55,-50.75,-35.61,1.17,"M0"
"177",19244,19261,"04 07 41.91","+15 09 46.2",6.02,61.92,15.16,21.27,127.06,-22.75,0.4,"F3V"
"178",19246,19263,"04 07 43.12","+16 31 07.9",9.94,61.93,16.52,19.7,123.1,-25.25,1.01,"K0"
"179",19299,19316,"04 08 26.60","+12 11 30.7",11.28,62.11,12.19,24.9,115.35,-13.05,1.33,""
"180",19309,19325,"04 08 30.80","+12 20 19.4",8.61,62.13,12.34,31.12,154.82,-336.33,0.9,"K0"
"181",19424,19441,"04 09 49.26","+09 18 19.8",10.1,62.46,9.31,29.78,156.7,-2.81,1.19,"K5V"
"182",19455,19472,"04 10 13.80","+17 22 07.7",9.07,62.56,17.37,29.88,414.43,-152.23,1.07,"K5"
"183",19464,19481,"04 10 21.62","+12 04 38.6",8.11,62.59,12.08,23.85,168.24,89.45,0.74,"K0"
"184",19487,19504,"04 10 42.29","+18 25 24.0",6.61,62.68,18.42,23.22,123.92,-31.41,0.43,"F6V"
"185",19537,19554,"04 11 20.20","+05 31 22.9",5.71,62.83,5.52,25.89,146.86,5,0.36,"F4V"
"186",19574,19591,"04 11 56.13","+23 38 11.3",9.38,62.98,23.64,27.21,137.76,-54.42,1.09,"K0"
"187",19702,19719,"04 13 33.11","+07 42 57.7",5.29,63.39,7.72,27.04,-3.99,4.45,0.37,"F3V..."
"188",19750,19767,"04 14 18.09","+12 20 53.7",6.74,63.58,12.35,27.98,341.22,-59.45,0.68,"G2V"
"189",19764,19781,"04 14 25.59","+14 37 30.3",8.45,63.61,14.63,21.91,105.61,-19.86,0.69,"G5V"
"190",19770,19786,"04 14 27.19","+12 26 07.2",8.05,63.61,12.44,22.19,117.48,-9.35,0.64,"G0"
"191",19771,19788,"04 14 30.24","+03 01 17.0",8.78,63.63,3.02,30.02,105.73,272.07,0.94,"K3V"
"192",19772,19789,"04 14 30.36","+22 27 07.0",7.05,63.63,22.45,18.12,95.09,-34.1,0.42,"F5V"
"193",19776,19793,"04 14 32.24","+23 34 30.2",8.05,63.63,23.58,21.69,121.09,-48.34,0.66,"G3V"
"194",19779,19796,"04 14 34.27","+10 42 05.0",7.11,63.64,10.7,21.08,119.81,-5.22,0.51,"F8V"
"195",19791,19808,"04 14 51.86","+13 03 18.0",10.69,63.72,13.05,22.67,114.46,-19.28,1.2,"K5"
"196",19818,19834,"04 15 10.34","+14 23 54.6",11.56,63.79,14.4,31.94,118.87,-11.92,1.36,"K2"
"197",19845,19862,"04 15 33.61","+15 42 22.8",10.96,63.89,15.71,31.11,112.78,-25.84,0.92,"M2"
"198",19853,19870,"04 15 42.37","+20 49 11.6",7.83,63.93,20.82,19.48,111.21,-36.57,0.71,"G4V"
"199",19860,19877,"04 15 46.21","+15 24 02.7",6.31,63.94,15.4,22.51,114.38,-22.07,0.4,"F5Vvar"
"200",19894,19911,"04 16 16.55","+07 09 34.5",7.5,64.07,7.16,28.69,-90.8,-42.66,0.66,"G0"
"201",19895,19912,"04 16 18.63","+08 43 12.7",9.84,64.08,8.72,26.49,-85.23,-314.09,1.15,"K7V"
"202",19916,19934,"04 16 33.41","+21 54 27.2",9.14,64.14,21.91,19.48,105.61,-37.59,0.81,"K0V"
"203",19964,19981,"04 17 06.80","+22 40 24.3",9.77,64.28,22.67,30.56,117.96,-42.19,1.23,"K5"
"204",19995,20012,"04 17 27.65","+23 28 09.0",11.36,64.37,23.47,28.68,488.16,-289.14,1.24,"K3:"
"205",20002,20019,"04 17 38.87","+16 56 52.5",8.32,64.41,16.95,21.4,113.07,-21.39,0.76,"G8V"
"206",20039,20056,"04 18 01.77","+18 15 24.8",7.53,64.51,18.26,21.84,115.65,-31.23,0.68,"G5V"
"207",20065,20082,"04 18 19.20","+16 05 18.2",9.57,64.58,16.09,20.01,121.88,-19.72,0.98,"K3V"
"208",20067,20084,"04 18 20.76","+20 21 37.7",10.46,64.59,20.36,25.45,-51.18,27.58,1.29,"K5"
"209",20069,20086,"04 18 21.92","+17 25 18.3",10.01,64.59,17.42,19.57,120.57,-40.55,1.1,"K2"
"210",20070,20087,"04 18 23.14","+21 34 45.8",5.64,64.6,21.58,18.25,96.42,-33.92,0.28,"F0V"
"211",20113,20130,"04 18 57.90","+19 54 24.4",8.62,64.74,19.91,23.53,113.95,-36.39,0.75,"G9V"
"212",20129,20146,"04 19 07.94","+17 31 29.4",8.47,64.78,17.52,21.24,112.8,-29.89,0.72,"G8V"
"213",20143,20160,"04 19 15.83","+29 06 27.1",11.96,64.82,29.11,18.98,5.28,-33.13,NA,"K3Ve-M0Ve(T)"
"214",20170,20187,"04 19 36.77","+12 37 27.7",9.81,64.9,12.62,20.13,168.47,-19.23,0.92,"K2"
"215",20188,20205,"04 19 47.53","+15 37 39.7",3.65,64.95,15.63,21.17,115.29,-23.86,0.98,"G8III"
"216",20198,20215,"04 19 54.78","+16 31 21.6",6.85,64.98,16.52,23.27,121.27,-36.65,0.51,"F7V+..."
"217",20202,20219,"04 19 57.63","+14 02 06.9",5.58,64.99,14.04,22.31,115.42,-19.91,0.28,"F3V..."
"218",20220,20237,"04 20 12.90","+19 14 00.8",7.46,65.05,19.23,22.27,115.67,-34.02,0.56,"G0V"
"219",20238,20255,"04 20 25.04","+18 44 33.8",6.11,65.1,18.74,21.12,119.59,-48.17,0.4,"F3:V..."
"220",20244,20261,"04 20 36.24","+15 05 43.8",5.26,65.15,15.1,21.2,108.79,-20.67,0.23,"F0V"
"221",20267,20284,"04 20 52.66","+13 51 52.1",6.15,65.22,13.86,21.8,105.29,-17.97,0.46,"F6V..."
"222",20332,20349,"04 21 31.58","+21 02 23.9",6.79,65.38,21.04,19.55,105.2,-36,0.43,"F5V"
"223",20333,20350,"04 21 32.20","+18 25 03.6",6.8,65.38,18.42,19.83,111.05,-31.69,0.44,"F6V"
"224",20340,20357,"04 21 34.73","+14 24 35.4",6.6,65.39,14.41,19.46,105.19,-19.11,0.41,"F5V"
"225",20380,20397,"04 22 00.93","+12 30 32.1",9.27,65.5,12.51,19.15,29.73,66.31,0.69,"G0"
"226",20383,20400,"04 22 03.45","+14 04 38.1",5.72,65.51,14.08,21.87,114.04,-21.4,0.32,"A3m"
"227",20402,20419,"04 22 25.62","+11 18 20.6",9.79,65.61,11.31,19.17,115.03,-6.69,1.18,"K8"
"228",20423,20440,"04 22 44.10","+15 03 22.1",6.97,65.68,15.06,21.45,111.98,-19.88,0.52,"G0V"
"229",20424,20441,"04 22 44.67","+16 47 27.7",7.86,65.69,16.79,26.96,173.3,4.67,0.68,"G4V"
"230",20438,20455,"04 22 56.03","+17 32 33.3",3.77,65.73,17.54,21.29,107.75,-28.84,0.98,"G8III"
"231",20462,20480,"04 23 22.27","+21 22 45.1",8.84,65.84,21.38,20.63,99.77,-39.07,0.76,"G9V"
"232",20466,20484,"04 23 25.00","+16 46 38.4",5.64,65.85,16.78,21.17,105.09,-27.62,0.31,"A1m"
"233",20467,20485,"04 23 25.20","+15 45 47.5",10.47,65.86,15.76,21.08,126.22,-30.5,1.23,"K5V"
"234",20473,20491,"04 23 30.34","+24 24 19.8",7.18,65.88,24.41,20.04,93.11,-45.08,0.46,"F5"
"235",20474,20492,"04 23 32.27","+14 40 13.9",9.11,65.88,14.67,21.23,107.57,-18.24,0.86,"K1V"
"236",20509,20527,"04 23 54.34","+14 03 07.7",10.89,65.98,14.05,22.57,115.9,-15.21,1.29,"K5.5Ve"
"237",20510,20528,"04 23 55.15","+27 49 21.5",10.97,65.98,27.82,19.26,-21.18,-39.64,1.21,"K8"
"238",20524,20542,"04 24 05.69","+17 26 39.2",4.8,66.02,17.44,22.36,109.99,-33.47,0.15,"A7V"
"239",20535,20553,"04 24 12.40","+14 45 29.8",7.58,66.05,14.76,22.25,97.38,-33.51,0.6,"G1V"
"240",20540,20557,"04 24 14.50","+21 44 10.9",7.13,66.06,21.74,24.47,119.1,-46.63,0.52,"F8V"
"241",20545,20563,"04 24 16.87","+18 00 10.8",9.99,66.07,18,19.35,112.72,-33.2,1.05,"K4V"
"242",20549,20567,"04 24 22.21","+17 04 44.5",6.96,66.09,17.08,18.74,99.08,-27.93,0.45,"F6V"
"243",20559,20577,"04 24 28.26","+16 53 10.4",7.79,66.12,16.89,20.73,110.89,-24.72,0.6,"G2V"
"244",20587,20605,"04 24 47.99","+15 52 29.2",11.66,66.2,15.87,24.41,102.58,-26.06,1.41,"M0.5Ve"
"245",20596,20614,"04 24 57.06","+19 02 31.5",5.97,66.24,19.04,20.4,110.73,-32.5,0.38,"F4V"
"246",20598,20616,"04 25 00.30","+11 58 40.7",8.41,66.25,11.98,21,43.19,-16.32,0.64,"G0"
"247",20617,20635,"04 25 22.10","+22 17 38.3",4.21,66.34,22.29,21.27,105.49,-44.14,0.14,"A7IV-V"
"248",20624,20641,"04 25 24.94","+22 12 00.4",5.27,66.35,22.2,22.65,112.45,-47.06,0.25,"A7V"
"249",20631,20648,"04 25 29.32","+17 55 40.8",4.3,66.37,17.93,22.05,108.26,-32.47,0.05,"A2IV"
"250",20634,20652,"04 25 30.86","+26 17 32.8",11.06,66.38,26.29,21.93,35.04,-97.93,1.26,"K8"
"251",20643,20661,"04 25 37.25","+15 56 27.9",6.44,66.41,15.94,21.47,104.62,-28.83,0.51,"F7V"
"252",20661,20679,"04 25 47.49","+18 01 02.5",8.99,66.45,18.02,20.79,112.62,-35.79,0.94,"K2V"
"253",20668,20686,"04 25 51.66","+18 51 50.9",8.07,66.47,18.86,23.08,110.87,-33.75,0.68,"G5V"
"254",20675,20693,"04 25 57.28","+05 09 00.5",7.36,66.49,5.15,22.03,96.32,4.55,0.51,"F5"
"255",20693,20711,"04 26 18.39","+22 48 49.3",4.28,66.58,22.81,21.07,108.66,-45.83,0.26,"A8Vn"
"256",20694,20712,"04 26 18.43","+21 28 13.9",7.36,66.58,21.47,21.54,105.82,-36.48,0.56,"F8V"
"257",20695,20713,"04 26 20.67","+15 37 06.0",4.48,66.59,15.62,20.86,114.66,-33.3,0.26,"F0V..."
"258",20701,20719,"04 26 24.54","+16 51 12.1",8.04,66.6,16.85,21.76,103.64,-17.58,0.65,"G1V"
"259",20723,20741,"04 26 40.05","+16 44 49.1",8.1,66.67,16.75,21.42,110.29,-27.82,0.66,"G8V"
"260",20727,20745,"04 26 42.75","+12 41 11.8",10.5,66.68,12.69,28.27,123.44,-16.78,1.36,"M0V"
"261",20733,20751,"04 26 48.19","+10 52 16.0",9.45,66.7,10.87,23.03,111.07,-16.26,1.03,"K5"
"262",20744,20762,"04 26 54.28","+13 08 17.6",10.48,66.73,13.14,21.83,104.54,-18.1,1.15,"K7"
"263",20758,20777,"04 27 02.79","+25 42 22.6",11.96,66.76,25.71,25.72,14.48,-26.38,1.47,"M0-M3Ve(T)"
"264",20797,20815,"04 27 35.83","+15 35 21.3",7.41,66.9,15.59,21.83,103.54,-25.16,0.54,"F8V"
"265",20807,20826,"04 27 46.01","+11 44 11.2",7.49,66.94,11.74,21.18,110.28,-12.11,0.56,"F8"
"266",20816,20834,"04 27 52.69","+24 26 40.2",9.4,66.97,24.44,24.05,375.08,114.38,0.89,"K3V"
"267",20824,20842,"04 28 00.72","+21 37 12.0",5.72,67,21.62,20.85,98.82,-40.59,0.27,"Am"
"268",20832,20850,"04 28 04.37","+13 52 04.7",9.02,67.02,13.87,21.29,106.16,-17.59,0.84,"K0V"
"269",20855,20873,"04 28 23.34","+14 44 27.7",5.9,67.1,14.74,18.42,109.72,-21.27,0.33,"F0IV"
"270",20867,20885,"04 28 34.43","+15 57 44.0",3.84,67.14,15.96,20.66,104.76,-15.01,0.95,"G7III"
"271",20871,20889,"04 28 36.93","+19 10 49.9",3.53,67.15,19.18,21.04,107.23,-36.77,1.01,"K0III"
"272",20872,20890,"04 28 37.15","+19 44 26.8",8.62,67.15,19.74,20.09,99.83,-39.82,0.74,"G8V"
"273",20876,20894,"04 28 39.67","+15 52 15.4",3.4,67.17,15.87,21.89,108.66,-26.39,0.18,"A7III"
"274",20877,20895,"04 28 39.78","+26 13 12.6",10.92,67.17,26.22,25,73.83,-36.86,1.39,"M0"
"275",20881,20899,"04 28 48.23","+17 17 07.9",7.83,67.2,17.29,21.09,105.58,-30.05,0.61,"G2V"
"276",20883,20901,"04 28 50.10","+13 02 51.5",5.02,67.21,13.05,20.33,105.17,-15.08,0.22,"A7V"
"277",20886,20904,"04 28 51.98","+30 21 41.5",6.38,67.22,30.36,18.42,23.05,-20.33,0.55,"F7V"
"278",20889,20907,"04 28 52.64","+30 21 53.6",8.21,67.22,30.36,21.46,14.18,-21.63,0.75,"G5"
"279",20898,20916,"04 28 59.72","+16 09 33.0",6.59,67.25,16.16,20.58,90.28,-25.47,0.54,"F7V+..."
"280",20917,20935,"04 29 20.49","+17 32 42.0",7.02,67.34,17.55,23.25,104.88,-31.65,0.53,"F7V"
"281",20930,20948,"04 29 30.29","+17 51 47.7",6.9,67.38,17.86,21.59,105.72,-32.56,0.45,"F6V"
"282",20933,20951,"04 29 31.54","+17 53 35.7",8.95,67.38,17.89,24.19,107,-33.31,0.83,"K0V"
"283",20961,20978,"04 29 57.66","+16 40 22.5",9.08,67.49,16.67,24.71,105.04,-28.33,0.87,"K1V"
"284",20977,20995,"04 30 08.53","+15 38 16.4",5.58,67.54,15.64,22.93,107.59,-23.92,0.32,"F0V..."
"285",20990,21008,"04 30 17.91","+19 50 26.3",7.09,67.57,19.84,19.94,94.9,-28.3,0.47,"F6V"
"286",20992,21010,"04 30 19.96","+28 07 54.4",6.51,67.58,28.13,25.18,139.28,47.91,0.72,"G5"
"287",21011,21029,"04 30 33.57","+16 11 38.7",4.78,67.64,16.19,22.54,104.98,-25.14,0.17,"A6IV"
"288",21018,21036,"04 30 37.30","+13 43 28.0",5.4,67.66,13.72,21.84,108.06,-19.71,0.26,"F0V"
"289",21021,21039,"04 30 38.83","+15 41 31.0",5.47,67.66,15.69,22.55,104.17,-24.29,0.26,"Am"
"290",21035,21053,"04 30 46.74","+16 08 55.5",6.5,67.69,16.15,24.28,98.2,-22.75,0.43,"F5V"
"291",21048,21066,"04 30 57.11","+10 45 06.5",7.03,67.74,10.75,22.96,104.19,-10.52,0.47,"F5"
"292",21074,21092,"04 31 11.44","+01 57 28.2",12.38,67.8,1.96,19.64,170.09,27.24,1.51,"M2V:"
"293",21081,21099,"04 31 15.63","+20 07 59.8",8.59,67.82,20.13,21.81,102.78,-41.08,0.73,"G8V"
"294",21085,21103,"04 31 16.51","+25 01 50.2",8.55,67.82,25.03,27.77,-53.84,-63.34,0.8,"G5"
"295",21094,21112,"04 31 29.29","+13 54 12.7",7.78,67.87,13.9,19.46,92.6,-19.96,0.54,"F9V"
"296",21105,21123,"04 31 37.04","+17 42 35.5",9.53,67.9,17.71,23.41,105.81,-30.97,0.99,"K2"
"297",21114,21132,"04 31 47.84","+14 09 17.9",10.33,67.95,14.15,28.36,-330.66,-352,0.43,"F0"
"298",21119,21137,"04 31 51.69","+15 51 05.9",6.01,67.97,15.85,22.25,107.59,-32.38,0.34,"F4V..."
"299",21134,21152,"04 32 04.74","+05 24 36.1",6.37,68.02,5.41,23.13,114.15,6.17,0.42,"F5V"
"300",21140,21158,"04 32 07.91","+21 37 56.5",7.08,68.03,21.63,25.55,-0.39,-2.75,0.64,"F5"
"301",21168,21186,"04 32 30.41","+04 08 23.8",11.03,68.13,4.14,24.04,51.61,-162.12,1.51,"M0V:"
"302",21238,21256,"04 33 37.11","+21 09 03.5",10.69,68.4,21.15,24.98,109.3,-45.31,1.24,"K8"
"303",21243,21261,"04 33 41.87","+19 00 50.8",10.74,68.42,19.01,21.06,102.3,-34.96,1.2,""
"304",21249,21267,"04 33 46.58","+13 15 06.9",6.62,68.44,13.25,22.8,101.77,-17.93,0.43,"F5V"
"305",21255,21273,"04 33 50.86","+14 50 40.2",4.65,68.46,14.84,21.39,103.69,-25.94,0.26,"A8V"
"306",21262,21280,"04 33 58.48","+15 09 49.3",8.48,68.49,15.16,24.02,101.93,-33.75,0.85,"G5"
"307",21290,21308,"04 34 30.13","+10 00 59.7",7.72,68.63,10.02,21.36,118.55,-68.94,0.62,"G5"
"308",21299,21317,"04 34 35.25","+15 30 16.9",7.9,68.65,15.5,23.19,100.66,-28.04,0.63,"G1V"
"309",21362,21380,"04 35 17.24","+23 02 43.2",8.91,68.82,23.05,23.09,-13.35,-67.89,0.77,"K1V"
"310",21384,21402,"04 35 39.23","+10 09 39.3",4.25,68.91,10.16,21.68,44.89,-52.42,0.18,"A5m"
"311",21418,21436,"04 36 13.94","+21 32 11.9",7.58,69.06,21.54,29.69,19.29,-41.36,0.69,"G5"
"312",21441,21459,"04 36 29.07","+23 20 27.5",6.01,69.12,23.34,22.6,109.97,-53.86,0.38,"F5IV"
"313",21456,21474,"04 36 40.66","+15 52 09.8",6.64,69.17,15.87,22.99,93.78,-23.02,0.44,"F5V"
"314",21457,21475,"04 36 41.19","+11 54 44.8",9.94,69.17,11.91,18.93,165.74,-29.14,0.85,"K0"
"315",21525,21543,"04 37 31.93","+15 08 47.4",7.53,69.38,15.15,23.54,86.8,-17.98,0.6,"G1V"
"316",21570,21588,"04 38 09.38","+16 02 00.2",5.78,69.54,16.03,21.96,113.05,-40.4,0.31,"F0V"
"317",21571,21589,"04 38 09.40","+12 30 39.1",4.27,69.54,12.51,21.79,101.73,-14.9,0.12,"A6V"
"318",21619,21637,"04 38 51.23","+23 09 00.4",7.51,69.71,23.15,22.6,104.3,-55.25,0.58,"F5"
"319",21636,21654,"04 38 57.25","+14 06 20.3",7.96,69.74,14.11,20.81,103.31,-21.62,0.66,"G5"
"320",21652,21670,"04 39 06.10","+07 52 15.6",5.38,69.78,7.87,19.44,91.87,-4.56,0.26,"A5m"
"321",21655,21673,"04 39 09.20","+15 48 00.1",5.08,69.79,15.8,21.49,32.4,-77.67,0.14,"A4m"
"322",21665,21683,"04 39 16.45","+15 55 04.9",4.67,69.82,15.92,20.51,82.4,-19.53,0.15,"A5Vn"
"323",21705,21723,"04 39 50.91","+12 43 42.7",10.04,69.96,12.73,23.95,102,-17.7,1.07,"K5"
"324",21744,21762,"04 40 25.41","+16 30 49.4",9.47,70.11,16.51,23.65,91.94,-30.69,1.1,"K0"
"325",21770,21788,"04 40 49.03","+23 48 35.1",8.84,70.2,23.81,19.48,63.12,-48.26,0.69,"G5"
"326",21900,21918,"04 42 48.79","+12 12 37.1",7.4,70.7,12.21,18.42,80.19,-227.59,0.76,"G5"
"327",21905,21923,"04 42 51.64","+18 43 14.4",7.12,70.72,18.72,23.23,103.46,-92.15,0.68,"G5"
"328",21908,21926,"04 42 52.23","+18 08 42.6",10.27,70.72,18.15,19.22,61.63,-121.96,0.82,"G0"
"329",21928,21946,"04 43 01.37","+18 42 42.7",9.92,70.76,18.71,21.1,100.3,-93,1.12,"K8"
"330",21943,21961,"04 43 13.75","+24 05 20.3",6.18,70.81,24.09,20.03,15.62,-18.3,0.54,"F7IV-V"
"331",21965,21983,"04 43 31.68","+11 09 59.9",10.29,70.88,11.17,21.48,97.8,24.92,1.16,"K8"
"332",22026,22044,"04 44 25.77","+11 08 46.2",5.39,71.11,11.15,20.73,98.87,-13.47,0.25,"F0V"
"333",22049,22067,"04 44 48.24","+05 17 22.3",8.09,71.2,5.29,23.43,-116.07,-43.76,0.86,"G5+..."
"334",22157,22175,"04 46 16.47","+03 16 07.3",7.81,71.57,3.27,31.11,55.17,29.83,0.68,"G0"
"335",22159,22177,"04 46 18.74","+03 38 10.7",10.92,71.58,3.64,22.45,92.59,12.96,1.28,""
"336",22185,22203,"04 46 30.33","+15 28 19.6",8.3,71.63,15.47,19.42,91.37,-24.72,0.67,"G5"
"337",22203,22221,"04 46 45.52","+09 01 02.9",7.24,71.69,9.02,26.26,89.03,-16.73,0.56,"F5"
"338",22206,22224,"04 46 49.40","+17 44 54.3",9.6,71.71,17.75,24.11,96.93,-33.93,0.97,"K0"
"339",22247,22265,"04 47 37.52","+18 15 31.7",8.54,71.91,18.26,19.81,78.87,-38.81,0.72,"G0"
"340",22253,22271,"04 47 41.73","+26 09 01.6",10.61,71.92,26.15,22.07,110.97,-81.58,1.17,"K7III"
"341",22302,22319,"04 48 27.65","+02 42 54.5",6.51,72.12,2.72,21.03,4.94,80.79,0.85,"G5"
